base_yr_qtr_cd,adm_cd,adm_nm,svc_induty_cd,svc_induty_nm,tot_sales_amt,tot_selng_co,mdwk_sales_amt,wkend_sales_amt,mon_sales_amt,tue_sales_amt,wed_sales_amt,thu_sales_amt,fri_sales_amt,sat_sales_amt,sun_sales_amt,tm00_06_sales_amt,tm06_11_sales_amt,tm11_14_sales_amt,tm14_17_sales_amt,tm17_21_sales_amt,tm21_24_sales_amt,ml_sales_amt,fml_sales_amt,age10_amt,age20_amt,age30_amt,age40_amt,age50_amt,age60_amt
20254,11650530,서초3동,CS300018,의약품,20423619442.0,282195.0,19900396718.0,523222724.0,2779816851.0,4924054715.0,5415997871.0,1318443136.0,5462084145.0,488717097.0,34505627.0,0.0,7532784840.0,7366910555.0,4411511116.0,1112203602.0,209329.0,12273908401.0,8084798564.0,8739840.0,311395488.0,3248788053.0,3557030501.0,2415087163.0,10817665923.0
20254,11650530,서초3동,CS300019,의료기기,1749470792.0,2753.0,1746187096.0,3283696.0,442510615.0,636435934.0,265576792.0,119932089.0,281731666.0,3283696.0,0.0,0.0,6472097.0,1514499508.0,198330448.0,30168739.0,0.0,1711708623.0,34872517.0,0.0,999272.0,4282967.0,935627356.0,579551567.0,226119978.0
20254,11650530,서초3동,CS300020,서적,15230321002.0,13942.0,13188269621.0,2042051381.0,1857142175.0,2371714115.0,3784423922.0,3487644833.0,1687344576.0,712867181.0,1329184200.0,0.0,615089585.0,4217718289.0,5634456072.0,3986628518.0,776428538.0,3703296758.0,11472554669.0,6160360.0,26512212.0,933598039.0,6028204207.0,3944243317.0,4237133292.0
20254,11650530,서초3동,CS300021,문구,1052328955.0,33450.0,1028942269.0,23386686.0,150626700.0,279622526.0,246312665.0,136428699.0,215951679.0,10102849.0,13283837.0,0.0,199333052.0,305676819.0,461098259.0,84536827.0,1683998.0,129462793.0,87458170.0,3709888.0,12584941.0,35425288.0,67341820.0,62814441.0,35044583.0
20254,11650530,서초3동,CS300022,화장품,12022689763.0,19033.0,11550800050.0,471889713.0,1901512766.0,2570921775.0,2190615622.0,2158070356.0,2729679531.0,313072332.0,158817381.0,8363794.0,2089739273.0,4156582253.0,4360312143.0,1352310220.0,55382080.0,2429421538.0,9593268225.0,0.0,319725494.0,2525571576.0,2642244871.0,5407797539.0,1127350283.0
20254,11650530,서초3동,CS300024,운동/경기용품,2833722765.0,6093.0,2074840023.0,758882742.0,506443946.0,283870058.0,499866109.0,459297111.0,325362799.0,533484218.0,225398524.0,0.0,108307829.0,892057394.0,1140302181.0,693055361.0,0.0,1401193265.0,646073128.0,0.0,0.0,172340077.0,561991588.0,496552544.0,816382185.0
20254,11650530,서초3동,CS300026,완구,6167244.0,62.0,6167244.0,0.0,0.0,0.0,0.0,6167244.0,0.0,0.0,0.0,0.0,6167244.0,0.0,0.0,0.0,0.0,6167244.0,0.0,0.0,0.0,0.0,0.0,0.0,6167244.0
20254,11650530,서초3동,CS300027,섬유제품,228376112.0,630.0,201192529.0,27183583.0,49314710.0,64061991.0,23075774.0,45271947.0,19468107.0,6100170.0,21083413.0,0.0,12898017.0,50411460.0,136747277.0,28319358.0,0.0,78167425.0,112162679.0,0.0,0.0,47627989.0,16382898.0,27981652.0,98337565.0
20254,11650530,서초3동,CS300028,화초,375278886.0,7886.0,287074103.0,88204783.0,37279782.0,47414942.0,64168708.0,65452766.0,72757905.0,50801405.0,37403378.0,0.0,21332472.0,93712410.0,110680256.0,139462270.0,10091478.0,129297878.0,134978918.0,2179810.0,39469304.0,81140718.0,59053936.0,55534376.0,26898651.0
20254,11650530,서초3동,CS300029,애완동물,5519717.0,110.0,4567103.0,952614.0,272175.0,2346152.0,261288.0,789309.0,898179.0,952614.0,0.0,0.0,2259056.0,2650988.0,430037.0,179636.0,0.0,2253612.0,2558449.0,16331.0,0.0,587899.0,1464304.0,1769140.0,974388.0
20254,11650530,서초3동,CS300032,가전제품,69157433.0,64.0,64332496.0,4824937.0,0.0,5629094.0,10454031.0,48249371.0,0.0,4824937.0,0.0,0.0,0.0,10454031.0,58703402.0,0.0,0.0,0.0,69157433.0,0.0,0.0,0.0,0.0,53878465.0,15278968.0
20254,11650530,서초3동,CS300033,철물점,712398201.0,22462.0,634526377.0,77871824.0,161586454.0,121333736.0,147966243.0,121953673.0,81686271.0,26885511.0,50986313.0,0.0,293516774.0,206732689.0,176874762.0,34887619.0,386357.0,353457422.0,87570441.0,79936.0,5640408.0,85656567.0,92379452.0,150970930.0,106300567.0
20254,11650530,서초3동,CS300035,인테리어,166573963.0,6611.0,152594625.0,13979338.0,12440972.0,63930832.0,29943396.0,21547596.0,24731829.0,11795033.0,2184305.0,0.0,36855482.0,31969366.0,88234208.0,9514907.0,0.0,40846158.0,18068614.0,0.0,1658622.0,7916496.0,7238313.0,21211345.0,20889997.0
20254,11650530,서초3동,CS300043,전자상거래업,7327594.0,37.0,6826966.0,500628.0,0.0,0.0,6826749.0,0.0,217.0,0.0,500628.0,0.0,0.0,500845.0,6826749.0,0.0,0.0,7327594.0,0.0,0.0,0.0,500628.0,0.0,6826966.0,0.0
20254,11650531,서초4동,CS100001,한식음식점,29736219361.0,641818.0,22801275994.0,6934943367.0,3993031971.0,4366418042.0,4647284800.0,4433008507.0,5361532674.0,4303885679.0,2631057688.0,2160301611.0,471542649.0,7805504880.0,2070447573.0,10575831022.0,6652591626.0,13522423586.0,8975540637.0,217534595.0,5392173665.0,5957209628.0,3645659001.0,3664566581.0,3620820736.0
20254,11650531,서초4동,CS100002,중식음식점,847282322.0,19391.0,732213300.0,115069022.0,120063023.0,143657405.0,171889741.0,139060158.0,157542973.0,83160667.0,31908355.0,0.0,338102.0,399042549.0,37791355.0,359886959.0,50223357.0,372074779.0,134494888.0,1546304.0,31987164.0,116984479.0,139484125.0,129000911.0,87566684.0
20254,11650531,서초4동,CS100003,일식음식점,3401030663.0,76855.0,2594662824.0,806367839.0,396362589.0,543296460.0,518291451.0,534723393.0,601988931.0,540834348.0,265533491.0,148434302.0,2908161.0,970907274.0,323729429.0,1265426837.0,689624660.0,1606870605.0,927136340.0,18706655.0,545470756.0,674329605.0,411767340.0,401769937.0,481962654.0
20254,11650531,서초4동,CS100004,양식음식점,4596745408.0,91836.0,3329473032.0,1267272376.0,513921742.0,634696724.0,716026015.0,695906259.0,768922292.0,684443831.0,582828545.0,9714610.0,7365309.0,1662123043.0,742719678.0,1696443209.0,478379559.0,1736127695.0,1721226536.0,28154819.0,546321392.0,1028035457.0,851668684.0,563290975.0,439882910.0
